Time,GDP_real,Capacity,Output_Gap,Capacity_Utilization,C_value,C_plan_value,I_value,G_value,AD_value
12,1357026891720.8694,1380152172640.6692,-1.6755602301124377,98.32443976988756,1051771693612.2778,1051699589167.785,16858912553.084122,288468390000.0002,1357098996165.3623
13,1362196031290.3652,1386721007950.038,-1.7685588174601634,98.23144118253984,1055511375393.3298,1055443368699.0645,17109016662.771025,289643645928.52997,1362264037984.6309
14,1365379521381.0671,1392346045483.2017,-1.9367688219185497,98.06323117808145,1059295624282.2947,1059209598962.7081,15346232423.169224,290823689995.18994,1365465546700.6538
15,1368736782844.3237,1396462337129.025,-1.985413680522305,98.0145863194777,1063022755815.0604,1062949791528.9534,13778449607.922617,292008541707.44775,1368809747130.431
16,1375489697118.3484,1399187346457.4043,-1.6936723591058676,98.30632764089414,1066762312369.1542,1066698785415.4097,15592691050.692192,293198220652.2466,1375553224072.0928
17,1383962231997.0142,1403463567572.0479,-1.3895149133632623,98.61048508663674,1070559017764.3441,1070494666243.1404,19074819257.54475,294392746496.3292,1384026583518.218
18,1391863881980.9146,1410776987045.0413,-1.340616216298039,98.65938378370195,1074433532164.1775,1074348026452.6997,21923716541.65164,295592138986.5635,1391949387692.3926
19,1396104809861.7148,1419557664599.561,-1.652124131530926,98.34787586846907,1078300247848.9845,1078230730484.4813,21077661426.96558,296796417950.26807,1396174327226.2183
20,1397715182176.0583,1426764223142.2646,-2.0360085075745395,97.96399149242545,1082217126922.1921,1082134046702.2805,17575532178.236828,298005603295.5409,1397798262395.9697
21,1401011767216.2278,1431670454537.5962,-2.141462598756403,97.8585374012436,1086049963757.6415,1085994586815.6593,15797465388.98061,299219715011.58777,1401067144158.21
22,1405509196618.602,1436217226532.384,-2.1381187571411973,97.8618812428588,1089925674280.9282,1089876633108.5759,15193790340.973362,300438773169.053,1405558237790.9546
23,1409196982577.5342,1441244085162.759,-2.223572184277571,97.77642781572241,1093839943337.9071,1093772699423.5586,13761485233.624565,301662797920.3512,1409264226491.8826
24,1415176134999.7332,1443827189366.1973,-1.9843825201159415,98.01561747988406,1097711759315.9254,1097647506124.3849,14636819375.348093,302891809500.0003,1415240388191.274
25,1420956734204.3853,1447264736769.1755,-1.8177740323805147,98.18222596761949,1101605743720.7834,1101551711179.1155,15279194800.313328,304125828224.95654,1421010766746.0535
26,1426983434548.9326,1451472483442.579,-1.687186575908332,98.31281342409166,1105542910263.602,1105489590393.5745,16128969660.40859,305364874494.9496,1427036754418.9604
27,1433858115113.9463,1455913555784.0354,-1.514886689698542,98.48511331030146,1109530846210.878,1109454394825.2134,17794751495.912712,306608968792.8203,1433934566499.6108
28,1438040555234.6846,1462239473088.2104,-1.6549216663135495,98.34507833368646,1113491186264.9075,1113432479812.3184,16749943737.5075,307858131684.859,1438099261687.274
29,1442959096208.23,1468075969024.9666,-1.71087010118544,98.28912989881456,1117504908478.9333,1117431059341.1006,16415653045.983517,309112383821.1458,1443032945346.0627
30,1450305821263.9705,1472304090288.468,-1.4941389601238861,98.50586103987611,1121475302821.2017,1121425556374.0327,18508518954.045837,310371745935.8918,1450355567711.1394
31,1457976003335.878,1477445820920.3416,-1.3178024742954932,98.6821975257045,1125529549245.443,1125486316863.3472,20853447624.74882,311636238847.7816,1458019235717.9736
32,1463388090489.6738,1484614380252.1716,-1.429751054876107,98.5702489451239,1129643205868.9297,1129599064760.0093,20883142269.346443,312905883460.3181,1463432231598.5942
33,1466553917216.7107,1491594799128.1895,-1.67879922389879,98.32120077610121,1133778386646.029,1133727086298.6792,18646130155.864044,314180700762.16736,1466605217564.0603
34,1470970186650.0562,1496607286507.264,-1.7130145020901801,98.28698549790982,1137909512454.5332,1137835577973.8843,17673896848.66594,315460711827.5058,1471044121130.705
35,1474951265222.6318,1500542201000.2422,-1.7054459221841118,98.29455407781589,1142013603917.855,1141925260552.9321,16280066853.330894,316745937816.36884,1475039608587.5544
36,1478985306817.591,1504059607637.8457,-1.6671081846040867,98.33289181539591,1146083924435.8945,1145999244594.7905,14949662247.800014,318036399975.0005,1479069986658.695
37,1487610827872.0254,1507551139393.23,-1.3226955292030962,98.6773044707969,1150131417775.7954,1150075927582.5894,18202780653.231453,319332119636.2046,1487666318065.2317
38,1494819415071.3516,1514229014256.1064,-1.2818139793926886,98.7181860206073,1154308006097.2944,1154239161984.3308,19947134867.323296,320633118219.69727,1494888259184.3152
39,1497536902044.7495,1522890437137.9956,-1.6648298836844493,98.33517011631554,1158533037775.0154,1158427033409.7554,17170451402.532528,321939417232.4615,1497642906410.0095
40,1502490940068.1914,1528217484834.8374,-1.6834347873873727,98.31656521261262,1162627588875.4236,1162559032631.6174,16680869167.47176,323251038269.1021,1502559496311.997
41,1509231496609.8232,1533324310148.0134,-1.5712796946305823,98.42872030536941,1166799156142.7234,1166738869923.1099,17924623674.51006,324568003012.2033,1509291782829.437
42,1516460458826.5923,1539871361776.8992,-1.5203154972174047,98.47968450278259,1171052072890.6375,1170959161183.833,19610964410.072865,325890333232.6865,1516553370533.397
43,1525441799249.2026,1544998036168.1924,-1.265777461277032,98.73422253872296,1175272070895.3447,1175183936061.433,23039812397.59902,327218050790.1709,1525529934083.1147
44,1536713877079.1106,1551132333746.2644,-0.929543943702768,99.07045605629723,1179535124433.1047,1179472915575.4534,28689783870.323128,328551177633.3342,1536776085936.7622
45,1542318304744.3008,1561390488447.3467,-1.2214871196001302,98.77851288039986,1183936503194.7178,1183875597120.9504,28552971823.074238,329889735800.2759,1542379210818.068
46,1538788094230.0312,1571551186447.0232,-2.0847613809552734,97.91523861904473,1188342653654.2092,1188294498154.6677,19259848656.482254,331233747418.8812,1538836249729.5725
47,1539822658734.6504,1578135486868.1892,-2.4277274322986453,97.57227256770135,1192694621725.8618,1192627101867.543,14612322159.919725,332583234707.1875,1539890178592.969
48,1545173803421.9204,1581480470045.1836,-2.29573917041327,97.70426082958673,1196957610038.9412,1196898778773.1675,14336804675.002117,333938219973.75073,1545232634687.694
49,1552494808225.1821,1583606286356.091,-1.9645967813437426,98.03540321865626,1201254238167.701,1201192869494.183,16003213112.983864,335298725618.01495,1552556176898.6997
50,1559177943182.1199,1587857469635.163,-1.8061776325322711,98.19382236746773,1205590217438.5488,1205522246187.6353,16990922863.80241,336664774130.68225,1559245914433.0337
51,1564165976332.883,1593600226958.776,-1.8470285161834532,98.15297148381656,1209947256029.7764,1209874365675.9458,16255222562.852608,338036388094.0847,1564238866686.7136
52,1569802599966.1,1598527249324.9502,-1.79694461705175,98.20305538294825,1214295771571.51,1214229728120.6577,16159281662.884884,339413590182.5574,1569868643416.9524
53,1575274036561.804,1603168152977.0225,-1.7399370342668166,98.26006296573318,1218660828708.5872,1218607803469.459,15869829929.531471,340796403162.8136,1575327061800.9326
54,1581253291235.0288,1607072357275.9834,-1.6065901403915859,98.39340985960841,1223092977398.9297,1223012730668.546,16055710672.161945,342184849894.32104,1581333537965.4126
55,1586948116712.2207,1611468038682.173,-1.5215890964864747,98.47841090351352,1227492033583.5308,1227409596134.3262,15959567248.215061,343578953329.6797,1587030554161.4258
56,1596020234490.1497,1615510408988.217,-1.2064406635593232,98.79355933644068,1231881083613.9656,1231820460536.3335,19221037438.815136,344978736515.0011,1596080857567.782
57,1605510225110.9077,1623290325708.2678,-1.0953124229088447,98.90468757709117,1236375450714.73,1236311847858.2678,22814154662.35021,346384222590.2898,1605573827967.3704
58,1612871502658.6587,1633142237860.9294,-1.24121063875129,98.75878936124872,1240972077653.29,1240862286701.925,24213781166.90822,347795434789.82544,1612981293610.0237
59,1621470610892.1,1641461745396.9111,-1.217886104313513,98.78211389568648,1245461952435.4849,1245400958910.9602,26857255538.59265,349212396442.54706,1621531604416.6245
60,1627626185917.1404,1649647932090.4802,-1.334936124548301,98.6650638754517,1250109181303.1501,1250040483662.3716,26950571282.33049,350635130972.4385,1627694883557.919
61,1626271438936.7744,1658968570331.9888,-1.9709313352856999,98.0290686647143,1254763050507.9858,1254690937683.2217,19516839354.63709,352063661898.9159,1626343551761.539
62,1628423674141.0999,1664040244093.904,-2.1403671022510626,97.85963289774895,1259333484859.3525,1259262759708.1128,15662901595.770517,353498012837.2167,1628494399292.3398
63,1635653679733.0542,1667157626572.025,-1.889680156023907,98.11031984397609,1263897198704.9868,1263805854874.1748,16909617360.090023,354938207498.7892,1635745023563.8657
64,1644174183442.5464,1670938128437.7883,-1.6017316583866803,98.39826834161332,1268438744380.6792,1268361688380.2437,19428225370.617073,356384269691.6854,1644251239442.982
65,1652366627756.6912,1677917032151.2297,-1.5227453983097616,98.47725460169025,1273060260573.9656,1272981598663.3416,21548805772.39527,357836223320.9546,1652445289667.3154
66,1660610820541.8757,1685604734779.0676,-1.482786190706082,98.5172138092939,1277717780434.0388,1277644559197.4739,23672168955.364647,359294092389.03735,1660684041778.441
67,1667429574336.849,1693114778163.2722,-1.5170385468070253,98.48296145319297,1282474035483.2778,1282357745156.4907,24313928184.19431,360757900996.1639,1667545864663.6362
68,1678122766813.7537,1700565883306.624,-1.3197440165759051,98.6802559834241,1287127740161.8994,1287053599336.4575,28841494136.544865,362227673340.75134,1678196907639.1958
69,1688426145065.7974,1711269042587.4844,-1.334851326892932,98.66514867310707,1291936929537.516,1291867524448.4028,32855186897.58993,363703433719.80457,1688495550154.9106
70,1690378793230.685,1723672228359.5967,-1.931540961276419,98.06845903872357,1296818703368.0117,1296754396566.8542,28439190134.51391,365185206529.317,1690443100031.8425
71,1688976278851.5454,1732446062754.3848,-2.5091565525409507,97.49084344745904,1301701693373.5876,1301609780652.7256,20693481934.145042,366673016264.67456,1689068191572.4075
